term_aquifer,term_DEFINIENDUM,->,,"defs-en-1.tsv an  aquifer is a body  of rock that can store and transmit significant quantities of water (gunn, 2004)."
term_aquifer,term_GENUS,->,,"defs-en-1.tsv when an aquifer is bounded on top and bottom by confining beds, it  is called  an artesian aquifer."
term_aragonite,term_DEFINIENDUM,->,,"defs-en-8.tsv aragonite is the metastable, orthorhombic polymorph of calcite and occurs as short to long prismatic (along c), acicular or tabular (chisel-shaped) crystals, often twinned."
term_passage,term_GENUS,->,,"defs-en-8.tsv a room is a type of passage that is wide relative to its length; rooms often form where passages intersect and are circular, oval, or irregular in shape."
term_cirque-dolines,term_DEFINIENDUM,->,,"defs-en-1.tsv glacial cirques have been transformed by solution into closed depressions, and  are called cirque-dolines."
term_aquitard,term_DEFINIENDUM,->,,defs-en-1.tsv less permeable rock below an aquifer that keeps groundwater from draining away  is called  a confining bed (also known as aquitard or aquiclude).
term_aquiclude,term_DEFINIENDUM,->,,defs-en-1.tsv less permeable rock below an aquifer that keeps groundwater from draining away  is called  a confining bed (also known as aquitard or aquiclude).
term_karst,term_GENUS,->,,"defs-en-7.tsv open karst is karst that commences only after exposure of the soluble rock, without any significant intrastratal karstification."
term_karst,term_DEFINIENDUM,->,,"defs-en-4.tsv karst is a very heterogeneous space medium which can be explained only be applying a great number of measurement points and by monitoring and measuring various phenomena : the water levels, water discharge and velocity, chemical composition of water, its temperature, concentration of suspended particles and the microorganisms in water."
term_dolomite,term_DEFINIENDUM,->,,defs-en-1.tsv dolomite is a type  of rock that dissolves and is karstified similarly as limestone.
term_rock,term_GENUS,->,,defs-en-6.tsv the sandstone is a rock made of cemented quartz sand that is very resistant to erosion.
term_drawdown,term_DEFINIENDUM,->,,defs-en-1.tsv the vertical change in the level of the potentiometric surface at the well  is called  the drawdown.
term_valley,term_GENUS,->,,"defs-en-1.tsv dry valley is a valley that generally lacks a stream, although one may occasionally form during peak rainfall events."
term_endokarst,term_DEFINIENDUM,->,,"defs-en-1.tsv endokarst  is defined as  karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength."
term_epikarst,term_DEFINIENDUM,->,,defs-en-1.tsv the highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
term_estavelle,term_DEFINIENDUM,->,,defs-en-1.tsv the  term  estavelle was first used in the jura but is now used fairly widely for a hole which is at one time of the year a swallow hole and at another time a spring.
