term_can_store_and_transmit_significant_quantities_of_water,term_HAS\_FUNCTION,->,,"defs-en-1.tsv an  aquifer is a body  of rock that can store and transmit significant quantities of water (gunn, 2004)."
term_forms_in_seawater,term_OCCURS\_IN\_MEDIUM,->,,"defs-en-1.tsv aragonite is a metastable modification  of caco3, which sometimes forms in seawater and transforms into calcite during diagenesis."
term_transforms_into_calcite_during_diagenesis,term_HAS\_RESULT,->,,"defs-en-1.tsv aragonite is a metastable modification  of caco3, which sometimes forms in seawater and transforms into calcite during diagenesis."
term_bounded_on_top_and_bottom_by_confining_beds,term_HAS\_FORM,->,,"defs-en-1.tsv when an aquifer is bounded on top and bottom by confining beds, it  is called  an artesian aquifer."
term_not_enlarged_by_growth_into_a_major_tube_or_canyon,term_HAS\_FORM,->,,"defs-en-1.tsv the  term  bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane."
term_has_remained_almost_entirely_on_the_bedding_plane,term_HAS\_LOCATION,->,,"defs-en-1.tsv the  term  bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane."
term_large_enough_to_be_examined_in_some_way_by_man,term_HAS\_SIZE,->,,"defs-en-1.tsv a cave is an airfilled underground void, large enough to be examined in some way by man."
term_have_been_transformed_by_solution_into_closed_depressions,term_HAS\_CAUSE,->,,"defs-en-1.tsv glacial cirques have been transformed by solution into closed depressions, and  are called cirque-dolines."
term_keeps_groundwater_from_draining_away,term_HAS\_FUNCTION,->,,defs-en-1.tsv less permeable rock below an aquifer that keeps groundwater from draining away  is called  a confining bed (also known as aquitard or aquiclude).
term_formed_by_the_influence_surface_river_flow,term_HAS\_CAUSE,->,,defs-en-1.tsv karst formed by the influence surface river flow could be designated by the  term  of contact karst.
term_that_dissolves_and_is_karstified_similarly_as_limestone,term_HAS\_ATTRIBUTE,->,,defs-en-1.tsv dolomite is a type  of rock that dissolves and is karstified similarly as limestone.
term_vertical_change_in_the_level_of_the_potentiometric_surface_at_the_well,term_DEFINED\_AS,->,,defs-en-1.tsv the vertical change in the level of the potentiometric surface at the well  is called  the drawdown.
term_lacks_a_stream,term_CONTAINS,->,,"defs-en-1.tsv dry valley is a valley that generally lacks a stream, although one may occasionally form during peak rainfall events."
term_in_the_lower_part_of_the_karstosphere,term_HAS\_LOCATION,->,,"defs-en-1.tsv endokarst  is defined as  karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength."
term_where_the_internal_(_telluric_)_energy_is_dominant_and_the_rock_mass_is_under_lithostatic_pressure_which_exceeds_its_tensile_strength,term_HAS\_CAUSE,->,,"defs-en-1.tsv endokarst  is defined as  karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength."
term_uppermost_zone_of_exposed_karst_rock,term_HAS\_LOCATION,->,,"defs-en-1.tsv the epikarst  is defined as  the uppermost zone of exposed karst rock, in which permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below."
term_permeability_due_to_fissuring_and_karstification_is_higher_and_more_uniformly_distributed_than_in_the_rock_mass_below,term_HAS\_ATTRIBUTE,->,,"defs-en-1.tsv the epikarst  is defined as  the uppermost zone of exposed karst rock, in which permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below."
term_highly_corroded,term_HAS\_FORM,->,,defs-en-1.tsv the highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
term_near_the_surface,term_HAS\_LOCATION,->,,defs-en-1.tsv the highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
term_at_one_time_of_the_year_a_swallow_hole_and_at_another_time_a_spring,term_OCCURS\_IN\_TIME,->,,defs-en-1.tsv the  term  estavelle was first used in the jura but is now used fairly widely for a hole which is at one time of the year a swallow hole and at another time a spring.
term_down-slope,term_HAS\_LOCATION,->,,defs-en-10.tsv colluvial transport is down-slope movement of sediments without the assistance of water.
term_without_the_assistance_of_water,term_HAS\_CAUSE,->,,defs-en-10.tsv colluvial transport is down-slope movement of sediments without the assistance of water.
term_centimeter_to_meter_in_scale,term_HAS\_SIZE,->,,"defs-en-10.tsv stalactites are centimeter to meter in scale, hanging from the ceiling and growing toward the cave floor."
term_hanging_from_the_ceiling,term_HAS\_LOCATION,->,,"defs-en-10.tsv stalactites are centimeter to meter in scale, hanging from the ceiling and growing toward the cave floor."
term_growing_toward_the_cave_floor,term_HAS\_ATTRIBUTE,->,,"defs-en-10.tsv stalactites are centimeter to meter in scale, hanging from the ceiling and growing toward the cave floor."
term_formed_by_a_thin_flowing_film_of_water_itself_fed_by_groups_of_dripping_stalactites,term_HAS\_CAUSE,->,,"defs-en-10.tsv stalagmitic flowstones are a particular type of stalagmite formed by a thin flowing film of water itself fed by groups of dripping stalactites, and coat the cave floor and walls."
term_coat_the_cave_floor_and_walls,term_HAS\_LOCATION,->,,"defs-en-10.tsv stalagmitic flowstones are a particular type of stalagmite formed by a thin flowing film of water itself fed by groups of dripping stalactites, and coat the cave floor and walls."
term_generated_by_axial_feeding,term_HAS\_CAUSE,->,,"defs-en-10.tsv soda straws are speleothems generated by axial feeding, and characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth on the meniscus of a drip."
term_characterized_by_a_central_canal_with_constant_diameter_and_by_a_wall_structure_that_is_controlled_by_geometric_selection_during_growth,term_HAS\_FORM,->,,"defs-en-10.tsv soda straws are speleothems generated by axial feeding, and characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth on the meniscus of a drip."
term_convex_deposits_that_grow_upward,term_HAS\_FORM,->,,"defs-en-10.tsv stalagmites are convex deposits that grow upward, commonly fed by an overhanging stalactite, and show flat, rounded, or slightly hollow tops, but not a central canal."
