term_can,term_frame\_FUNCTION,->,,"defs-en-1.tsv an  aquifer is a body  of rock that can store and transmit significant quantities of water (gunn, 2004)."
term_bounded,term_frame\_FORM,->,,"defs-en-1.tsv when an aquifer is bounded on top and bottom by confining beds, it  is called  an artesian aquifer."
term_by,term_frame\_FORM,->,,"defs-en-1.tsv when an aquifer is bounded on top and bottom by confining beds, it  is called  an artesian aquifer."
term_by,term_frame\_CAUSE,->,,"defs-en-2.tsv karstification is the geologic process of differential chemical and mechanical erosion by water on soluble bodies of rock, such as limestone, dolomite, gypsum, or salt, at or near the earth’s surface."
term_by,term_frame\_LOCATION,->,,"defs-en-7.tsv riedl defined the marginal cave by its position at the sea coast, the presence of brackish water, and the presence of troglobiotic species in it, but he also supposed that the origin of such caves was due to wave action and their gradual loss of connection to the sea."
term_where,term_frame\_CAUSE,->,,defs-en-11.tsv tufa refers to softer porous material found near cave entrances where rapid deposition is encouraged by evaporation.
term_where,term_frame\_FUNCTION,->,,"defs-en-13.tsv the term sinkhole is sometimes used to refer both to dolines (especially in north america and in the engineering literature) and to depressions where streams sink underground, which in europe are described by separate terms (including ponor, swallow hole, and stream-sink)."
term_where,term_frame\_LOCATION,->,,"defs-en-8.tsv a room is a type of passage that is wide relative to its length; rooms often form where passages intersect and are circular, oval, or irregular in shape."
term_forms_in,term_frame\_MEDIUM,->,,"defs-en-1.tsv aragonite is a metastable modification  of caco3, which sometimes forms in seawater and transforms into calcite during diagenesis."
term_transforms_into,term_frame\_RESULT,->,,"defs-en-1.tsv aragonite is a metastable modification  of caco3, which sometimes forms in seawater and transforms into calcite during diagenesis."
term_enlarged_by_growth_into_a,term_frame\_FORM,->,,"defs-en-1.tsv the  term  bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane."
term_almost_entirely_on_the,term_frame\_LOCATION,->,,"defs-en-1.tsv the  term  bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane."
term_large_enough,term_frame\_SIZE,->,,"defs-en-15.tsv pseudokarstic caves are natural underground spaces, large enough to enter and investigate, extending beyond daylight, and produced by some process other than dissolution."
term_transformed_by,term_frame\_CAUSE,->,,"defs-en-1.tsv glacial cirques have been transformed by solution into closed depressions, and  are called cirque-dolines."
term_that_keeps,term_frame\_FUNCTION,->,,defs-en-1.tsv less permeable rock below an aquifer that keeps groundwater from draining away  is called  a confining bed (also known as aquitard or aquiclude).
term_formed_by,term_frame\_CAUSE,->,,defs-en-7.tsv network caves are angular grids of intersecting passages formed by widening of nearly all major fractures within favorable areas of soluble rocks.
